experiment	experiment_id	condition	condition_id	stimulus_id	stimulus_name	page_id	item_id	text	question_id	question	response_true	distractor_1	distractor_2	distractor_3
reveil-zh	1	real	1	2	Autumn-Born	5	11	英国体育协会尚无法确认，在其资助的四十七个体育项目和一千三百名运动员中，是否有不成比例的高比例运动员出生在十一月和十月。该机构“运动发展路径”的负责人娜塔莉·邓曼表示，研究发现，青少年运动员在少年级别赛事中确实体现出了出生月份带来的差异，但这一影响在他们进入成年级别赛事后逐渐消失。她指出：“在培养顶级运动员的过程中，决定一个人成为冠军的因素有很多，我们的研究并未发现出生月份是决定性因素之一。”	5	娜塔莉·邓曼认为，这项研究存在的局限性是什么？	它没有研究这些差异是否会持续到成年阶段	研究中的青少年未曾参与少年级别的体育比赛	研究关注了太多无关紧要的因素，而忽略了冠军运动员的关键特质	研究的样本量过小
reveil-zh	1	real	1	3	Octopus	1	12	章鱼“墨迹”成功越狱，逃离新西兰水族馆@#@一只章鱼成功上演了一场惊天大逃亡，从新西兰国家水族馆中逃脱，溜出水箱、爬行穿越五十米长的排水管，最终消失在大海之中。这次离奇的出逃，让人不禁想起电影《海底总动员》中的情节。水族馆工作人员推测，某天夜里，当水族馆空无一人时，这只名叫“墨迹”的新西兰普通章鱼，趁着水箱盖子意外留下的一条缝隙，悄悄爬上玻璃缸顶端，沿着外壁滑落至地面，然后一路滑行，最终找到排水管，直通大海。水族馆的全国经理罗伯特·亚雷尔表示：“章鱼是天生的逃脱大师。我不认为墨迹是因为不开心或孤独才逃走的，因为章鱼本来就是独居生物。但他天生好奇，总想探索外面的世界。这就是他的个性。”	1	亚雷尔如何描述墨迹的性格？	充满好奇心	对外面的世界感到紧张	不开心	顽皮又淘气
reveil-zh	1	real	1	3	Octopus	2	13	其中一种理论认为，墨迹先滑行穿越水族馆地板，大约三到四米，然后在察觉到自由就在眼前时，钻入了一条通往大海的排水管。这条管道长达五十米，最终通向新西兰北岛东海岸的霍克湾。另一种可能的逃跑路线是，墨迹从水箱顶部的一条开放管道钻入，随后顺着地板下方的排水管一路滑行，最终成功逃脱。“第二天早上，我们进来后发现他的水箱是空的，真的大吃一惊。” 水族馆经理亚雷尔说道。然而，尽管墨迹的失踪让工作人员感到惋惜，他们并未展开搜寻行动。“我们都很难过……但这就是墨迹，他总是如此出其不意，让人意想不到。”	2	墨迹是如何逃跑的？	尚不确定，目前有多个可能的理论	通过水箱顶部的开放管道	亚雷尔和其他员工偷偷帮他逃走	通过意外敞开的窗户
reveil-zh	1	real	1	3	Octopus	3	14	国家水族馆展览馆的管理员赖斯·詹金森坚信，墨迹并未被盗。“我非常了解章鱼的习性，”他说，“我曾见过章鱼在船上滑过渗水泵的缝隙。而且，这里的安保措施非常严格，根本不可能有人偷走墨迹，更何况，谁会想要偷走他呢？”由于章鱼没有骨骼，它们能钻进极其狭小的空间，甚至曾被拍摄到从硬币大小的缝隙中挤过去。此外，章鱼极为聪明，甚至具备使用工具的能力。在新西兰惠灵顿岛湾海洋教育中心，一只章鱼被发现夜间会偷偷摸摸爬进另一座水箱偷螃蟹，然后再溜回自己的水箱。该中心的另一只章鱼闪电，更是被认为打破了世界纪录，它以最快速度打开玻璃罐，在被释放回大海前展现了令人惊叹的智慧。	3	文章为什么提到章鱼闪电？	举例说明章鱼的聪明才智	说明章鱼喜欢打开罐子	证明章鱼能钻过硬币大小的缝隙	说明水族馆里还有其他章鱼
reveil-zh	1	real	1	3	Octopus	4	15	墨迹最初是被一位当地渔民发现并带到国家水族馆的。当时，他被困在捕龙虾的笼子里，满身伤痕，外表粗糙。雅雷尔回忆道：“他当时生活在珊瑚礁中，与鱼类争斗，因此状态不是很好。”尽管如此，墨迹的智商异于常章，性格友善，充满好奇心，很快成为了水族馆最受欢迎的明星之一。目前，水族馆没有计划提升安保措施，因为他们认为墨迹的逃脱是一个个案，但工作人员也越来越意识到章鱼的聪明才智。至于是否会寻找“接班人”，水族馆表示不会主动寻找新的章鱼，但如果有渔民再次送来一只，他们可能会收养。	4	为什么墨迹在进入水族馆之前状态不好？	因为他曾在珊瑚礁中与鱼类争斗	因为他长期生活在病鱼附近	因为他曾被困在肮脏的捕捞笼中	因为他在之前的水族馆受到了虐待
reveil-zh	1	real	1	4	Japan	1	16	日本向“加班文化”宣战@#@一天的工作告一段落，最重要的任务已完成，剩下的留待明日。此时，大多数人都会收拾桌面，踏上回家的路。然而，在日本，准时下班、回家吃晚饭，竟可能被视为对公司的不忠。长久以来，日本企业被默许最大限度地榨取员工的生产力，过度加班已成为职场常态。但如今，这一传统正受到挑战。日本政府正考虑立法，强制企业确保员工每年至少享有五天带薪休假，以打破根深蒂固的过劳文化，重塑更健康的职场生态。	1	日本政府希望员工做什么？	休更多的假	在国家法定假日不要工作	每天准时回家吃晚餐	减少加班时间
reveil-zh	1	real	1	4	Japan	2	17	日本员工理论上每年可享有18.5天的带薪假期（仅比全球平均水平少两天），最低标准为10 天，另有15个法定节假日。然而，现实情况却与此大相径庭——大多数人平均仅使用9 天假期，远远未能享受应有的休息。在英国，连续两周的夏季假期被视为理所当然，而在日本，连休四天都被认为是奢侈的享受。面对长期以来根深蒂固的过劳文化，日本政府正在推动一项新法案，旨在鼓励员工真正享受带薪假期。该提案将在本届国会讨论，政府希望在未来十年内，让日本的休假文化逐步向欧美看齐。目前，英国员工平均每年休假20天，法国则高达25天。有趣的是，一些企业已开始尝试鼓励员工在工位小憩，以提升工作效率。	2	日本员工如何看待两周的夏季假期？	认为时间过长，是没有必要的享受	认为自己无权享受这样的假期	认为公司不会批准	认为会感到无聊
reveil-zh	1	real	1	4	Japan	3	18	日本严苛的职场文化或许曾助其跻身世界经济强国之列，也让日本的企业员工因其对公司的忠诚度而备受全球推崇，但这往往是以牺牲个人生活为代价的。日本低生育率及人口迅速下降的预测，部分归因于夫妻因工作繁忙而缺乏时间建立家庭。 近年来，越来越多的员工因压力而身心俱疲，甚至不堪重负，最终死于“过劳死”。 尽管研究表明，超长工时未必能提升生产力， 但日本职场仍然深受上世纪80年代泡沫经济时期的加班文化影响，难以摆脱这种惯性。	3	世界如何看待日本员工？	他们受到高度尊敬	他们对公司过于投入	他们被批评为了工作牺牲家庭	他们过于自满
reveil-zh	1	real	1	4	Japan	4	19	日本政府数据显示，约22%的日本员工每周工作超过49小时， 相比之下，美国为16%，法国和德国仅为11%。每天在公司待上14个小时，并几乎放弃带薪休假的人中，关口绘理香并非个例。 这位36岁的贸易公司职员本应享有20天带薪休假，然而2014年她仅休了8天，其中6天还是病假。“几乎没人真正休年假，”她说道。 在日本，请假不仅意味着自己得不到放松，还可能被同事指责“抛弃团队”。民生部负责工作时间政策的官员分部优，自己每月加班多达100小时。 他坦言，日本职场文化让员工难以休假，因为“同事之间存在无形的压力，大家都不愿成为那个‘提前离开’的人”。“带薪休假是员工的权利，” 他补充道，“但遗憾的是，在日本工作往往意味着自愿奉献。”	4	谁表示日本员工几乎不使用带薪休假？	关口绘理香	一名资深企业职员	分部优	记者
reveil-zh	1	real	1	5	French	1	20	"男子挑战100%“法国制造”生活，最终差之毫厘@#@本杰明·卡尔96.9%由法国制造——从内衣到袜子，无一例外。然而，仅仅六把宜家餐叉、一把中国吉他和一桶不明来源的墙漆， 让他与“百分百经济爱国者”称号擦肩而过。但谁又能做到绝对纯粹法国制造呢？2013年，26岁的卡尔发起了一项实验：在10个月内只使用法国制造的产品， 这场挑战成为了一部电视纪录片的主题。他的灵感来源于经济复兴部长阿尔诺·蒙特堡的号召——鼓励民众购买法国制造，以振兴本国工业。这场实验的代价不小——卡尔不得不告别智能手机、电视、冰箱（中国制造）；眼镜（意大利制造）；内裤（摩洛哥制造）；晨间咖啡（危地马拉产），甚至他最爱的音乐——大卫·鲍伊（英国）。
所幸，他的法国女友阿娜伊丝和猫卢恩仍然陪伴在他身边。"	1	关于卡尔的宜家餐叉，哪项说法正确？	它们不是法国制造的	它们96.9%是法国制造的	它们是他女友买的	它们是在打折时买的
reveil-zh	1	real	1	5	French	2	21	"“政客们总是发表各种言论，并希望我们盲目照办。 我想知道，部长的呼吁是否真的可行， 也想让他对自己的承诺负责。”纪录片拍摄完成后，本杰明·卡尔坐在巴黎的一家咖啡馆，一边喝着非法国生产的咖啡，一边向《卫报》讲述他的实验初衷。为了验证这个想法的可行性，他为自己设定了三条规则：只食用法国生产的食品，避免接触任何外国制造的商品，并将日常开销维持在每月1800欧元内（略高于最低工资1430欧元，以弥补巴黎较高的生活成本）。然而，实验刚开始，他就震惊地发现：家中的物品，仅有4.5%是法国制造的！
这意味着，他不得不清空大部分家当， 包括中国制造的灯泡和肯尼亚进口的青豆。"	2	谁制定了实验的三条规则？	卡尔本人	经济复兴部长	与卡尔合作的记者	法国某脱口秀主持人
reveil-zh	1	real	1	5	French	3	22	搬运工人离开后，卡尔的公寓几乎变成了一片空荡荡的“实验场”。由于法国已不再生产冰箱，他只能把食物放在窗台上降温；没有指甲刀，他只能用小刀修剪指甲。他所有的外国品牌衣物，包括内衣在内，都被更换为昂贵的法国产替代品：26欧元的内裤、9欧元的袜子、75欧元的马球衫和26欧元的草编凉鞋，唯独牛仔裤未能找到其替代品——因为法国早已不再生产。实验期间，他不得不在超市货架上仔细搜寻100%法国制造的产品，学习烹饪本土种植的时令果蔬，自豪地使用法国最后一家牙刷制造商生产的牙刷。而在找到法国唯一仍在生产的洗衣机之前，他只能亲手清洗衣物。然而，虽然这台洗衣机终于符合了他的“爱国标准”，它却是顶开式的，根本塞不进浴室柜台下，实验的种种限制让他的生活充满了不便。	3	卡尔在以前的内裤有什么特点？	并非法国制造	价格为26欧元	之前是用顶开式洗衣机洗的	由Calvin Klein生产
reveil-zh	1	real	1	5	French	4	23	社交生活变得异常艰难——不能看好莱坞电影，不能喝比利时啤酒，更别提寿司或披萨。待在家里也并不轻松，没有电视、没有沙发，只能听着米歇尔·萨尔杜的老歌，读法语小说打发时间。法国葡萄酒当然可以，席琳·迪翁也勉强算数，但傻瓜庞克因使用英语演唱而被排除，让他的“法国制造”生活更加清苦。出行同样受限。他的英国制造自行车被禁，本想选择一辆法国汽车，却发现价格可承受的标致、雷诺、雪铁龙大多在海外生产，最终只能购入一辆尾气滚滚的摩比莱特老式机车。最后，他不得不放弃电脑，换上一台联网速度极慢的Qooq食谱平板；至于手机，他告别了苹果手机，改用一部老旧的Sagem移动电话，为这场“百分百法国”实验画上句号。	4	为什么傻瓜庞克的音乐不被允许？	他们的歌曲是英文演唱	他们并非法国乐队	他们实际上是英国组合	他们没有在法国发行专辑
reveil-zh	1	real	1	5	French	5	24	在纪录片中，卡尔意识到自己对苹果手机依赖成瘾，于是挥起全新法国产的特福平底锅，将手机砸得粉碎。一旁的女友惊呼：“你疯了吗？那可是新锅！” 而卡尔则耸耸肩，对着镜头笑道：“我的目标是拯救法国经济，毕竟，我喜欢‘不可能的任务’。”他的实验既是挑战也是戏谑。有一次，他特意请教法语专家，询问自己是否该戒掉“cool”之类的英语外来词，结果被建议改用更纯正的法语——“chouette”。然而，在实践过程中，他发现法国不生产家用冰箱（除了酒柜）和电视机，但却在飞机座椅和风力发电机领域遥遥领先。他无奈地叹道：“真是讽刺，这些东西根本放不进我家。”	5	卡尔用全新的特福平底锅做了什么？	砸坏了一部手机	把锅弄坏了	送给了一位法语专家	用来做晚餐
reveil-zh	1	real	1	5	French	6	25	实验结束后，卡尔向银行贷款，重新购置家具和衣物。一名特别审核员最终认定，他的生活达到了96.9% 的“法国制造”，而蒙特布尔更是亲自颁发勋章。然而，卡尔坦言，要做到100% 本土制造并不现实，尤其在科技领域，这既不可能，也无必要。不过，这场实验的意义并非盲目的民族主义或爱国情怀，而是促使人们重新思考其消费方式，学会做出更好的选择。卡尔总结道：“无论身处何地，我们都该思考如何支持本土产业，因为这关乎就业与经济的未来。”	6	实验结束后，卡尔发生了什么？	获得勋章	被蒙特布尔认证为96.9%“法国制造”	公开反对民族主义	决定从政
reveil-zh	1	real	1	5	French	7	26	卡尔认为，法国制造的T恤虽然价格更高，但至少能确保工人享有合理薪资和良好的工作条件。相比之下，来自亚洲或摩洛哥的廉价T恤，生产环境却难以保证。他直言：“人们一方面指责资本主义导致经济衰退，另一方面却不愿在消费时做出更负责任的选择，这其实是一种虚伪。”尽管他仍希望支持法国本土产业，但不会再坚持100%法国制造的极端做法。“光是寻找合适的产品，就已经是一项艰巨的工作了。”实验结束后，他第一时间邀请朋友们到家中聚会，享用法国奶酪，聆听大卫·鲍伊的经典专辑《疯狂雅各》。回顾这段经历，他笑着说：“实验期间，家里连个能坐的地方都没有，无法请朋友过来……但如果要在鲍伊和沙发之间做选择，我宁愿选鲍伊。”	7	卡尔的朋友在聚会上做了什么？	听音乐	送他一张大卫·鲍伊的黑胶唱片	穿着法国制造的T恤前来	送他一面法国国旗
reveil-zh	1	real	1	6	Tiger	1	27	尼泊尔老虎数量回升@#@一项最新的动物普查显示，尼泊尔的老虎数量已攀升至上世纪70年代以来的最高水平，这一喜讯为持续百年下滑的南亚虎群带来了新的希望。尼泊尔政府调查数据显示，野生孟加拉虎的数量在过去五年内增长了63.6%，已达到198只。尼泊尔国家公园与野生动物保护局生态学家马赫什瓦尔·达卡尔对此表示：“这一成果极其鼓舞人心。”此次普查动用了超过500台红外摄像机，覆盖五个受保护区及三条野生动物走廊，通过照片分析记录虎群活动。整个调查历时数月，汇集了250余名自然保护人士与野生动物专家，共耗资约25万英镑。	1	过去五年，尼泊尔的孟加拉虎数量发生了什么变化？	增长至198只	增加了198只	在五个保护区增加了500只	持续下降
reveil-zh	1	real	1	6	Tiger	2	28	随着亚洲经济崛起，虎皮和虎骨等珍贵动物制品的市场价格水涨船高，助长了非法捕猎的猖獗。国际犯罪集团以高额报酬雇佣尼泊尔贫困村民猎杀孟加拉虎，随后将虎皮和骨骼交给中间商。这些交易品轻易穿越尼泊尔与印度间松散的边境监管，最终流入印度黑市，落入大型走私网络之手。然而，遏制这一非法产业的最大障碍之一，正是部分高级官员与黑帮交易集团的狼狈为奸，使得执法行动举步维艰，令本已岌岌可危的虎群更添生存危机。	2	国际犯罪集团如何运作？	雇佣猎人猎杀孟加拉虎	亲自捕猎老虎	用虎皮制作奢侈服饰	养殖老虎进行黑市交易
reveil-zh	1	real	1	6	Tiger	3	29	尼泊尔虎群数量的增长被动物保护专家归功于国家公园严格的巡护管理、反盗猎行动的升级，以及对虎类栖息地的精细化管理。目前，该国森林覆盖率已达29%，为孟加拉虎提供了更稳定的生存环境。然而，随着虎群数量的回升，人虎冲突也日益加剧。公园管理人员透露，2012年国家公园周边发生了七起虎袭事件，相较于2011年的四起有所上升，村民因此呼吁政府加强安全防护措施，以减少猛兽对人类社区的威胁。	3	动物保护专家认为虎类栖息地发生了哪些变化？	生态管理更加完善	领地面积进一步扩大	受到村民更严格的保护	变得更加干净
reveil-zh	1	real	1	6	Tiger	4	30	尼泊尔政府正积极推进老虎保护计划，但村民们呼吁，保护猛虎的同时，也要保护人类的安全。奇特旺地区村长克里希纳·布尔特尔在接受《尼泊尔日报》采访时表示：“政府不仅要关注老虎种群的复兴，也必须制定措施，防止人虎冲突加剧。”近日，奇特旺国家公园附近发生了一起严重的人虎冲突。一只猛虎袭击村庄，造成两人死亡，其中一名村民甚至在深夜被拖下床袭击。事发后，野生动物管理部门迅速行动，成功捕获这只猛兽。过去，孟加拉虎曾广泛分布于孟加拉国、印度和尼泊尔的森林，但过去一个世纪内，它们的数量锐减，从数万只骤降至约3000只，减少了95%。如今，奇特旺国家公园成为尼泊尔老虎数量最多的保护区，栖息着120只成年虎，其次是巴迪亚国家公园（50只）和舒克拉凡塔野生动物保护区（17只）。	4	最近奇特旺村庄发生了什么？	老虎袭击村民，导致两人死亡	老虎袭击两人，并试图拖走第三人	老虎帮助了村民	村民成功解救了一只老虎
reveil-zh	1	real	1	6	Tiger	5	31	尼泊尔野生动物保护专家达卡尔表示，尼泊尔与印度同步开展了一项孟加拉虎种群调查，印度方面的最终数据预计将在2013年底公布。他补充道，印度目前约有1300 只老虎，分布在多个大型保护区内，完整的数据统计仍需几个月才能完成。尼泊尔政府承诺，到2022 年将老虎数量翻倍，从2009年的121只增至242只，以进一步强化保护措施。然而，非法交易仍然猖獗。世界自然基金会尼泊尔分部负责人迪瓦卡尔·查帕甘透露，虎皮在西藏极受追捧，富人将其制成节庆服饰；而在尼泊尔，旧时国王在重大典礼上站立于虎皮之上，如今一些富裕阶层也将虎头作为装饰，悬挂于客厅墙壁。此外，虎骨因其在传统中药中的价值，在黑市上价格高昂，交易金额可达数千美元，形成了一条利润惊人的非法市场链。	5	尼泊尔的国王过去在什么情况下使用虎皮？	重大仪式上站立其上	在特殊场合与老虎合影	将虎皮悬挂在墙上作为装饰	赠送虎皮作为贵重礼品
reveil-zh	1	real	1	7	Ice-cream	1	32	卢旺达女性打造热销冰淇淋生意@#@在卢旺达乃至邻国布隆迪，人们纷纷涌向南部小镇布塔雷，只为品尝Inzozi Nziza（甜美梦想小屋） 的一勺冰凉甘甜。这家小店是这个中非国家的首家冰淇淋店，为顾客带来前所未有的味觉体验。店内供应香甜奶油、百香果、草莓和菠萝口味的冰淇淋，可搭配新鲜水果、蜂蜜、巧克力碎或燕麦麦片，更有红茶与咖啡，满足顾客的甜蜜享受。	1	除了冰淇淋，顾客还能在这家店购买什么？	饮品	百香果	布塔雷传统甜点	冷冻酸奶
reveil-zh	1	real	1	7	Ice-cream	2	33	这家冰淇淋店的招牌上写着“冰淇淋、咖啡、梦想”，不仅勾起了当地人的好奇心，也在悄然改变着人们的生活。店长路易丝·英加比雷一边品尝着蜂蜜口味的冰淇淋，一边笑着说道：“冰淇淋很重要。一些卢旺达人已经喜欢上了它，但对大多数人来说，它仍然是新奇的。我们还需要努力，让更多人知道，他们一定会爱上它的。”秉持着“美梦成真”的理念，这家小店的确改变了许多人的命运。英加比雷感慨地说：“以前我没有工作，只能待在家里。现在，我对未来充满期待，不仅能赚钱养活自己，还能贴补家用。”	2	为什么英加比雷以前一直待在家里？	她没有工作	她能够在家赚钱	她一直在努力实现家人的梦想	她在照顾父母
reveil-zh	1	real	1	7	Ice-cream	3	34	布塔雷，卢旺达国立大学的所在地，人口约89600人，位于首都基加利以南135公里。在布塔雷甜美梦想小屋已成为当地学生休闲放松的热门去处，为疲惫的学子们带来一抹清凉与甜蜜。“这家店让人们彼此更亲近。” 24岁的农业专业学生卡利萨·米根多说道，“无论是朋友小聚，还是约会聊天，大家都会相约来甜美梦想小屋享受冰淇淋。”店内大部分食材均取自当地，新鲜牛奶来自邻近的尼扬扎乳品站，而香草豆和可可则依赖进口，为冰淇淋增添异域风味。	3	卢旺达国立大学位于哪里？	布塔雷	基加利	尼扬扎	内罗毕
reveil-zh	1	real	1	7	Ice-cream	4	35	甜美梦想小屋由戏剧导演卡特塞创立。她结识了蓝色大理石冰淇淋店的联合创始人——来自美国纽约布鲁克林的米森和邓达斯，三人一拍即合，携手于2010年开设了这家冰淇淋店。米森回忆道：“卡特塞的愿景是通过一家冰淇淋店，重燃人们的希望、精神与家庭传统，帮助他们重建生活。”最初，米森和邓达斯与员工共同持有这家店，并以合作性质的非营利模式运营。他们没有设定具体的财务目标，而是选择耐心等待。十八个月后，女性员工已然展现出卓越的商业才能，两位创始人遂将股份悉数转让，使她们真正成为店铺的主人，让甜美梦想小屋不仅仅是一家店铺，更是希望的象征。	4	开业18个月后，谁持有了这家店的全部股份？	员工	米森和邓达斯	卡特塞	当地一个家庭
