experiment,experiment_id,condition,condition_id,stimulus_id,stimulus_name,page_id,item_id,text,question_id,question,response_true,distractor_1,distractor_2,distractor_3,para_id,page_word_id,para_word_id,stim_word_id,exp_word_id
reveil-zh,1,real,1,1,Bottle-Message,1,1,她,,,,,,,1,34,24,34,34
reveil-zh,1,real,1,1,Bottle-Message,1,1,尚,,,,,,,1,35,25,35,35
reveil-zh,1,real,1,1,Bottle-Message,1,1,未,,,,,,,1,36,26,36,36
reveil-zh,1,real,1,1,Bottle-Message,1,1,出,,,,,,,1,37,27,37,37
reveil-zh,1,real,1,1,Bottle-Message,1,1,生,,,,,,,1,38,28,38,38
reveil-zh,1,real,1,1,Bottle-Message,1,1,。,,,,,,,1,39,29,39,39
reveil-zh,1,real,1,1,Bottle-Message,1,1,但,,,,,,,1,40,30,40,40
reveil-zh,1,real,1,1,Bottle-Message,1,1,在,,,,,,,1,41,31,41,41
reveil-zh,1,real,1,1,Bottle-Message,1,1,二,,,,,,,1,42,32,42,42
reveil-zh,1,real,1,1,Bottle-Message,1,1,零,,,,,,,1,43,33,43,43
reveil-zh,1,real,1,1,Bottle-Message,1,1,一,,,,,,,1,44,34,44,44
reveil-zh,1,real,1,1,Bottle-Message,1,1,四,,,,,,,1,45,35,45,45
reveil-zh,1,real,1,1,Bottle-Message,1,1,年,,,,,,,1,46,36,46,46
reveil-zh,1,real,1,1,Bottle-Message,1,1,四,,,,,,,1,47,37,47,47
reveil-zh,1,real,1,1,Bottle-Message,1,1,月,,,,,,,1,48,38,48,48
reveil-zh,1,real,1,1,Bottle-Message,1,1,八,,,,,,,1,49,39,49,49
reveil-zh,1,real,1,1,Bottle-Message,1,1,日,,,,,,,1,50,40,50,50
reveil-zh,1,real,1,1,Bottle-Message,1,1,星,,,,,,,1,51,41,51,51
reveil-zh,1,real,1,1,Bottle-Message,1,1,期,,,,,,,1,52,42,52,52
reveil-zh,1,real,1,1,Bottle-Message,1,1,二,,,,,,,1,53,43,53,53
reveil-zh,1,real,1,1,Bottle-Message,1,1,，,,,,,,,1,54,44,54,54
reveil-zh,1,real,1,1,Bottle-Message,1,1,她,,,,,,,1,55,45,55,55
reveil-zh,1,real,1,1,Bottle-Message,1,1,经,,,,,,,1,56,46,56,56
reveil-zh,1,real,1,1,Bottle-Message,1,1,历,,,,,,,1,57,47,57,57
reveil-zh,1,real,1,1,Bottle-Message,1,1,了,,,,,,,1,58,48,58,58
reveil-zh,1,real,1,1,Bottle-Message,1,1,一,,,,,,,1,59,49,59,59
reveil-zh,1,real,1,1,Bottle-Message,1,1,件,,,,,,,1,60,50,60,60
reveil-zh,1,real,1,1,Bottle-Message,1,1,匪,,,,,,,1,61,51,61,61
reveil-zh,1,real,1,1,Bottle-Message,1,1,夷,,,,,,,1,62,52,62,62
reveil-zh,1,real,1,1,Bottle-Message,1,1,所,,,,,,,1,63,53,63,63
reveil-zh,1,real,1,1,Bottle-Message,1,1,思,,,,,,,1,64,54,64,64
reveil-zh,1,real,1,1,Bottle-Message,1,1,的,,,,,,,1,65,55,65,65
reveil-zh,1,real,1,1,Bottle-Message,1,1,事,,,,,,,1,66,56,66,66
reveil-zh,1,real,1,1,Bottle-Message,1,1,，,,,,,,,1,67,57,67,67
reveil-zh,1,real,1,1,Bottle-Message,1,1,她,,,,,,,1,68,58,68,68
reveil-zh,1,real,1,1,Bottle-Message,1,1,收,,,,,,,1,69,59,69,69
reveil-zh,1,real,1,1,Bottle-Message,1,1,到,,,,,,,1,70,60,70,70
reveil-zh,1,real,1,1,Bottle-Message,1,1,了,,,,,,,1,71,61,71,71
reveil-zh,1,real,1,1,Bottle-Message,1,1,一,,,,,,,1,72,62,72,72
reveil-zh,1,real,1,1,Bottle-Message,1,1,个,,,,,,,1,73,63,73,73
reveil-zh,1,real,1,1,Bottle-Message,1,1,漂,,,,,,,1,74,64,74,74
reveil-zh,1,real,1,1,Bottle-Message,1,1,流,,,,,,,1,75,65,75,75
reveil-zh,1,real,1,1,Bottle-Message,1,1,瓶,,,,,,,1,76,66,76,76
reveil-zh,1,real,1,1,Bottle-Message,1,1,！,,,,,,,1,77,67,77,77
reveil-zh,1,real,1,1,Bottle-Message,2,2,这,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,0,0,78,78
reveil-zh,1,real,1,1,Bottle-Message,2,2,是,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,1,1,79,79
reveil-zh,1,real,1,1,Bottle-Message,2,2,她,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,2,2,80,80
reveil-zh,1,real,1,1,Bottle-Message,2,2,的,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,3,3,81,81
reveil-zh,1,real,1,1,Bottle-Message,2,2,祖,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,4,4,82,82
reveil-zh,1,real,1,1,Bottle-Message,2,2,父,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,5,5,83,83
reveil-zh,1,real,1,1,Bottle-Message,2,2,一,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,6,6,84,84
reveil-zh,1,real,1,1,Bottle-Message,2,2,百,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,7,7,85,85
reveil-zh,1,real,1,1,Bottle-Message,2,2,零,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,8,8,86,86
reveil-zh,1,real,1,1,Bottle-Message,2,2,一,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,9,9,87,87
reveil-zh,1,real,1,1,Bottle-Message,2,2,年,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,10,10,88,88
reveil-zh,1,real,1,1,Bottle-Message,2,2,前,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,11,11,89,89
reveil-zh,1,real,1,1,Bottle-Message,2,2,扔,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,12,12,90,90
reveil-zh,1,real,1,1,Bottle-Message,2,2,进,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,13,13,91,91
reveil-zh,1,real,1,1,Bottle-Message,2,2,黄,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,14,14,92,92
reveil-zh,1,real,1,1,Bottle-Message,2,2,河,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,15,15,93,93
reveil-zh,1,real,1,1,Bottle-Message,2,2,里,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,16,16,94,94
reveil-zh,1,real,1,1,Bottle-Message,2,2,的,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,17,17,95,95
reveil-zh,1,real,1,1,Bottle-Message,2,2,。,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,18,18,96,96
reveil-zh,1,real,1,1,Bottle-Message,2,2,大,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,19,19,97,97
reveil-zh,1,real,1,1,Bottle-Message,2,2,家,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,20,20,98,98
reveil-zh,1,real,1,1,Bottle-Message,2,2,都,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,21,21,99,99
reveil-zh,1,real,1,1,Bottle-Message,2,2,认,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,22,22,100,100
reveil-zh,1,real,1,1,Bottle-Message,2,2,为,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,23,23,101,101
reveil-zh,1,real,1,1,Bottle-Message,2,2,这,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,24,24,102,102
reveil-zh,1,real,1,1,Bottle-Message,2,2,是,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,25,25,103,103
reveil-zh,1,real,1,1,Bottle-Message,2,2,世,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,26,26,104,104
reveil-zh,1,real,1,1,Bottle-Message,2,2,界,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,27,27,105,105
reveil-zh,1,real,1,1,Bottle-Message,2,2,上,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,28,28,106,106
reveil-zh,1,real,1,1,Bottle-Message,2,2,最,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,29,29,107,107
reveil-zh,1,real,1,1,Bottle-Message,2,2,古,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,30,30,108,108
reveil-zh,1,real,1,1,Bottle-Message,2,2,老,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,31,31,109,109
reveil-zh,1,real,1,1,Bottle-Message,2,2,的,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,32,32,110,110
reveil-zh,1,real,1,1,Bottle-Message,2,2,漂,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,33,33,111,111
reveil-zh,1,real,1,1,Bottle-Message,2,2,流,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,34,34,112,112
reveil-zh,1,real,1,1,Bottle-Message,2,2,瓶,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,35,35,113,113
reveil-zh,1,real,1,1,Bottle-Message,2,2,。,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,36,36,114,114
reveil-zh,1,real,1,1,Bottle-Message,2,2,该,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,37,37,115,115
reveil-zh,1,real,1,1,Bottle-Message,2,2,漂,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,38,38,116,116
reveil-zh,1,real,1,1,Bottle-Message,2,2,流,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,39,39,117,117
reveil-zh,1,real,1,1,Bottle-Message,2,2,瓶,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,40,40,118,118
reveil-zh,1,real,1,1,Bottle-Message,2,2,正,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,41,41,119,119
reveil-zh,1,real,1,1,Bottle-Message,2,2,在,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,42,42,120,120
reveil-zh,1,real,1,1,Bottle-Message,2,2,一,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,43,43,121,121
reveil-zh,1,real,1,1,Bottle-Message,2,2,个,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,44,44,122,122
reveil-zh,1,real,1,1,Bottle-Message,2,2,博,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,45,45,123,123
reveil-zh,1,real,1,1,Bottle-Message,2,2,物,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,46,46,124,124
reveil-zh,1,real,1,1,Bottle-Message,2,2,馆,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,47,47,125,125
reveil-zh,1,real,1,1,Bottle-Message,2,2,里,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,48,48,126,126
reveil-zh,1,real,1,1,Bottle-Message,2,2,面,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,49,49,127,127
reveil-zh,1,real,1,1,Bottle-Message,2,2,展,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,50,50,128,128
reveil-zh,1,real,1,1,Bottle-Message,2,2,出,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,51,51,129,129
reveil-zh,1,real,1,1,Bottle-Message,2,2,，,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,52,52,130,130
reveil-zh,1,real,1,1,Bottle-Message,2,2,博,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,53,53,131,131
reveil-zh,1,real,1,1,Bottle-Message,2,2,物,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,54,54,132,132
reveil-zh,1,real,1,1,Bottle-Message,2,2,馆,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,55,55,133,133
reveil-zh,1,real,1,1,Bottle-Message,2,2,方,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,56,56,134,134
reveil-zh,1,real,1,1,Bottle-Message,2,2,联,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,57,57,135,135
reveil-zh,1,real,1,1,Bottle-Message,2,2,系,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,58,58,136,136
reveil-zh,1,real,1,1,Bottle-Message,2,2,且,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,59,59,137,137
reveil-zh,1,real,1,1,Bottle-Message,2,2,告,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,60,60,138,138
reveil-zh,1,real,1,1,Bottle-Message,2,2,知,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,61,61,139,139
reveil-zh,1,real,1,1,Bottle-Message,2,2,了,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,62,62,140,140
reveil-zh,1,real,1,1,Bottle-Message,2,2,杨,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,63,63,141,141
reveil-zh,1,real,1,1,Bottle-Message,2,2,丹,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,64,64,142,142
reveil-zh,1,real,1,1,Bottle-Message,2,2,丹,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,65,65,143,143
reveil-zh,1,real,1,1,Bottle-Message,2,2,此,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,66,66,144,144
reveil-zh,1,real,1,1,Bottle-Message,2,2,事,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,67,67,145,145
reveil-zh,1,real,1,1,Bottle-Message,2,2,。,1,是谁把漂流瓶扔进了黄河？,杨丹丹的祖父,杨丹丹,博物馆的一个工作人员,一个渔夫,0,68,68,146,146
reveil-zh,1,real,1,1,Bottle-Message,3,3,“,,,,,,,0,0,0,147,147
reveil-zh,1,real,1,1,Bottle-Message,3,3,这,,,,,,,0,1,1,148,148
reveil-zh,1,real,1,1,Bottle-Message,3,3,太,,,,,,,0,2,2,149,149
reveil-zh,1,real,1,1,Bottle-Message,3,3,不,,,,,,,0,3,3,150,150
reveil-zh,1,real,1,1,Bottle-Message,3,3,可,,,,,,,0,4,4,151,151
reveil-zh,1,real,1,1,Bottle-Message,3,3,思,,,,,,,0,5,5,152,152
reveil-zh,1,real,1,1,Bottle-Message,3,3,议,,,,,,,0,6,6,153,153
reveil-zh,1,real,1,1,Bottle-Message,3,3,了,,,,,,,0,7,7,154,154
reveil-zh,1,real,1,1,Bottle-Message,3,3,，,,,,,,,0,8,8,155,155
reveil-zh,1,real,1,1,Bottle-Message,3,3,”,,,,,,,0,9,9,156,156
reveil-zh,1,real,1,1,Bottle-Message,3,3,六,,,,,,,0,10,10,157,157
reveil-zh,1,real,1,1,Bottle-Message,3,3,十,,,,,,,0,11,11,158,158
reveil-zh,1,real,1,1,Bottle-Message,3,3,二,,,,,,,0,12,12,159,159
reveil-zh,1,real,1,1,Bottle-Message,3,3,岁,,,,,,,0,13,13,160,160
reveil-zh,1,real,1,1,Bottle-Message,3,3,的,,,,,,,0,14,14,161,161
reveil-zh,1,real,1,1,Bottle-Message,3,3,杨,,,,,,,0,15,15,162,162
reveil-zh,1,real,1,1,Bottle-Message,3,3,丹,,,,,,,0,16,16,163,163
reveil-zh,1,real,1,1,Bottle-Message,3,3,丹,,,,,,,0,17,17,164,164
reveil-zh,1,real,1,1,Bottle-Message,3,3,回,,,,,,,0,18,18,165,165
reveil-zh,1,real,1,1,Bottle-Message,3,3,忆,,,,,,,0,19,19,166,166
reveil-zh,1,real,1,1,Bottle-Message,3,3,起,,,,,,,0,20,20,167,167
reveil-zh,1,real,1,1,Bottle-Message,3,3,自,,,,,,,0,21,21,168,168
reveil-zh,1,real,1,1,Bottle-Message,3,3,己,,,,,,,0,22,22,169,169
reveil-zh,1,real,1,1,Bottle-Message,3,3,得,,,,,,,0,23,23,170,170
reveil-zh,1,real,1,1,Bottle-Message,3,3,知,,,,,,,0,24,24,171,171
reveil-zh,1,real,1,1,Bottle-Message,3,3,漂,,,,,,,0,25,25,172,172
reveil-zh,1,real,1,1,Bottle-Message,3,3,流,,,,,,,0,26,26,173,173
reveil-zh,1,real,1,1,Bottle-Message,3,3,瓶,,,,,,,0,27,27,174,174
reveil-zh,1,real,1,1,Bottle-Message,3,3,消,,,,,,,0,28,28,175,175
reveil-zh,1,real,1,1,Bottle-Message,3,3,息,,,,,,,0,29,29,176,176
reveil-zh,1,real,1,1,Bottle-Message,3,3,的,,,,,,,0,30,30,177,177
reveil-zh,1,real,1,1,Bottle-Message,3,3,那,,,,,,,0,31,31,178,178
reveil-zh,1,real,1,1,Bottle-Message,3,3,一,,,,,,,0,32,32,179,179
reveil-zh,1,real,1,1,Bottle-Message,3,3,天,,,,,,,0,33,33,180,180
reveil-zh,1,real,1,1,Bottle-Message,3,3,，,,,,,,,0,34,34,181,181
reveil-zh,1,real,1,1,Bottle-Message,3,3,“,,,,,,,0,35,35,182,182
reveil-zh,1,real,1,1,Bottle-Message,3,3,再,,,,,,,0,36,36,183,183
reveil-zh,1,real,1,1,Bottle-Message,3,3,平,,,,,,,0,37,37,184,184
reveil-zh,1,real,1,1,Bottle-Message,3,3,凡,,,,,,,0,38,38,185,185
reveil-zh,1,real,1,1,Bottle-Message,3,3,不,,,,,,,0,39,39,186,186
reveil-zh,1,real,1,1,Bottle-Message,3,3,过,,,,,,,0,40,40,187,187
reveil-zh,1,real,1,1,Bottle-Message,3,3,的,,,,,,,0,41,41,188,188
reveil-zh,1,real,1,1,Bottle-Message,3,3,某,,,,,,,0,42,42,189,189
reveil-zh,1,real,1,1,Bottle-Message,3,3,一,,,,,,,0,43,43,190,190
reveil-zh,1,real,1,1,Bottle-Message,3,3,天,,,,,,,0,44,44,191,191
reveil-zh,1,real,1,1,Bottle-Message,3,3,，,,,,,,,0,45,45,192,192
reveil-zh,1,real,1,1,Bottle-Message,3,3,突,,,,,,,0,46,46,193,193
reveil-zh,1,real,1,1,Bottle-Message,3,3,然,,,,,,,0,47,47,194,194
reveil-zh,1,real,1,1,Bottle-Message,3,3,有,,,,,,,0,48,48,195,195
reveil-zh,1,real,1,1,Bottle-Message,3,3,人,,,,,,,0,49,49,196,196
reveil-zh,1,real,1,1,Bottle-Message,3,3,敲,,,,,,,0,50,50,197,197
reveil-zh,1,real,1,1,Bottle-Message,3,3,响,,,,,,,0,51,51,198,198
reveil-zh,1,real,1,1,Bottle-Message,3,3,了,,,,,,,0,52,52,199,199
reveil-zh,1,real,1,1,Bottle-Message,3,3,我,,,,,,,0,53,53,200,200
reveil-zh,1,real,1,1,Bottle-Message,3,3,的,,,,,,,0,54,54,201,201
reveil-zh,1,real,1,1,Bottle-Message,3,3,家,,,,,,,0,55,55,202,202
reveil-zh,1,real,1,1,Bottle-Message,3,3,门,,,,,,,0,56,56,203,203
reveil-zh,1,real,1,1,Bottle-Message,3,3,。,,,,,,,0,57,57,204,204
reveil-zh,1,real,1,1,Bottle-Message,3,3,他,,,,,,,0,58,58,205,205
reveil-zh,1,real,1,1,Bottle-Message,3,3,站,,,,,,,0,59,59,206,206
reveil-zh,1,real,1,1,Bottle-Message,3,3,在,,,,,,,0,60,60,207,207
reveil-zh,1,real,1,1,Bottle-Message,3,3,门,,,,,,,0,61,61,208,208
reveil-zh,1,real,1,1,Bottle-Message,3,3,口,,,,,,,0,62,62,209,209
reveil-zh,1,real,1,1,Bottle-Message,3,3,，,,,,,,,0,63,63,210,210
reveil-zh,1,real,1,1,Bottle-Message,3,3,对,,,,,,,0,64,64,211,211
reveil-zh,1,real,1,1,Bottle-Message,3,3,我,,,,,,,0,65,65,212,212
reveil-zh,1,real,1,1,Bottle-Message,3,3,说,,,,,,,0,66,66,213,213
reveil-zh,1,real,1,1,Bottle-Message,3,3,，,,,,,,,0,67,67,214,214
reveil-zh,1,real,1,1,Bottle-Message,3,3,他,,,,,,,0,68,68,215,215
reveil-zh,1,real,1,1,Bottle-Message,3,3,这,,,,,,,0,69,69,216,216
reveil-zh,1,real,1,1,Bottle-Message,3,3,边,,,,,,,0,70,70,217,217
reveil-zh,1,real,1,1,Bottle-Message,3,3,有,,,,,,,0,71,71,218,218
reveil-zh,1,real,1,1,Bottle-Message,3,3,我,,,,,,,0,72,72,219,219
reveil-zh,1,real,1,1,Bottle-Message,3,3,祖,,,,,,,0,73,73,220,220
reveil-zh,1,real,1,1,Bottle-Message,3,3,父,,,,,,,0,74,74,221,221
reveil-zh,1,real,1,1,Bottle-Message,3,3,的,,,,,,,0,75,75,222,222
reveil-zh,1,real,1,1,Bottle-Message,3,3,书,,,,,,,0,76,76,223,223
reveil-zh,1,real,1,1,Bottle-Message,3,3,信,,,,,,,0,77,77,224,224
reveil-zh,1,real,1,1,Bottle-Message,3,3,。,,,,,,,0,78,78,225,225
